epoch,lr-Adam,step,test_loss,test_mae,test_r2,train_loss,train_mae_epoch,train_mae_step,train_r2_epoch,train_r2_step,valid_loss,valid_mae,valid_r2
30,,999,,,,,,nan,,nan,,,
,0.001,1019,,,,,,,,,,,
30,,1019,,,,,,nan,,nan,,,
30,,1022,,,,,,,,,nan,nan,nan
30,,1022,,,,nan,nan,,nan,,,,
,0.001,1023,,,,,,,,,,,
,0.001,1039,,,,,,,,,,,
31,,1039,,,,,,nan,,nan,,,
31,,1055,,,,,,,,,nan,nan,nan
31,,1055,,,,nan,nan,,nan,,,,
,0.001,1056,,,,,,,,,,,
,0.001,1059,,,,,,,,,,,
32,,1059,,,,,,nan,,nan,,,
,0.001,1079,,,,,,,,,,,
32,,1079,,,,,,nan,,nan,,,
32,,1088,,,,,,,,,nan,nan,nan
32,,1088,,,,nan,nan,,nan,,,,
,0.001,1089,,,,,,,,,,,
,0.001,1099,,,,,,,,,,,
33,,1099,,,,,,nan,,nan,,,
,0.001,1119,,,,,,,,,,,
33,,1119,,,,,,nan,,nan,,,
33,,1121,,,,,,,,,nan,nan,nan
33,,1121,,,,nan,nan,,nan,,,,
,0.001,1122,,,,,,,,,,,
,0.001,1139,,,,,,,,,,,
34,,1139,,,,,,nan,,nan,,,
34,,1154,,,,,,,,,nan,nan,nan
34,,1154,,,,nan,nan,,nan,,,,
,0.001,1155,,,,,,,,,,,
,0.001,1159,,,,,,,,,,,
35,,1159,,,,,,nan,,nan,,,
,0.001,1179,,,,,,,,,,,
35,,1179,,,,,,nan,,nan,,,
35,,1187,,,,,,,,,nan,nan,nan
35,,1187,,,,nan,nan,,nan,,,,
,0.001,1188,,,,,,,,,,,
,0.001,1199,,,,,,,,,,,
36,,1199,,,,,,nan,,nan,,,
,0.001,1219,,,,,,,,,,,
36,,1219,,,,,,nan,,nan,,,
36,,1220,,,,,,,,,nan,nan,nan
36,,1220,,,,nan,nan,,nan,,,,
,0.001,1221,,,,,,,,,,,
,0.001,1239,,,,,,,,,,,
37,,1239,,,,,,nan,,nan,,,
37,,1253,,,,,,,,,nan,nan,nan
37,,1253,,,,nan,nan,,nan,,,,
,0.001,1254,,,,,,,,,,,
,0.001,1259,,,,,,,,,,,
38,,1259,,,,,,nan,,nan,,,
,0.001,1279,,,,,,,,,,,
38,,1279,,,,,,nan,,nan,,,
38,,1286,,,,,,,,,nan,nan,nan
38,,1286,,,,nan,nan,,nan,,,,
,0.001,1287,,,,,,,,,,,
,0.001,1299,,,,,,,,,,,
39,,1299,,,,,,nan,,nan,,,
,0.001,1319,,,,,,,,,,,
39,,1319,,,,,,nan,,nan,,,
39,,1319,,,,,,,,,nan,nan,nan
39,,1319,,,,nan,nan,,nan,,,,
,0.001,1320,,,,,,,,,,,
,0.001,1339,,,,,,,,,,,
40,,1339,,,,,,nan,,nan,,,
40,,1352,,,,,,,,,nan,nan,nan
40,,1352,,,,nan,nan,,nan,,,,
,0.001,1353,,,,,,,,,,,
,0.001,1359,,,,,,,,,,,
41,,1359,,,,,,nan,,nan,,,
,0.001,1379,,,,,,,,,,,
41,,1379,,,,,,nan,,nan,,,
41,,1385,,,,,,,,,nan,nan,nan
41,,1385,,,,nan,nan,,nan,,,,
,0.001,1386,,,,,,,,,,,
,0.001,1399,,,,,,,,,,,
42,,1399,,,,,,nan,,nan,,,
42,,1418,,,,,,,,,nan,nan,nan
42,,1418,,,,nan,nan,,nan,,,,
,0.001,1419,,,,,,,,,,,
,0.001,1419,,,,,,,,,,,
43,,1419,,,,,,nan,,nan,,,
,0.001,1439,,,,,,,,,,,
43,,1439,,,,,,nan,,nan,,,
43,,1451,,,,,,,,,nan,nan,nan
43,,1451,,,,nan,nan,,nan,,,,
,0.001,1452,,,,,,,,,,,
,0.001,1459,,,,,,,,,,,
44,,1459,,,,,,nan,,nan,,,
,0.001,1479,,,,,,,,,,,
44,,1479,,,,,,nan,,nan,,,
44,,1484,,,,,,,,,nan,nan,nan
44,,1484,,,,nan,nan,,nan,,,,
,0.001,1485,,,,,,,,,,,
,0.001,1499,,,,,,,,,,,
45,,1499,,,,,,nan,,nan,,,
45,,1517,,,,,,,,,nan,nan,nan
45,,1517,,,,nan,nan,,nan,,,,
,0.001,1518,,,,,,,,,,,
,0.001,1519,,,,,,,,,,,
46,,1519,,,,,,nan,,nan,,,
,0.001,1539,,,,,,,,,,,
46,,1539,,,,,,nan,,nan,,,
46,,1550,,,,,,,,,nan,nan,nan
46,,1550,,,,nan,nan,,nan,,,,
,0.001,1551,,,,,,,,,,,
,0.001,1559,,,,,,,,,,,
47,,1559,,,,,,nan,,nan,,,
,0.001,1579,,,,,,,,,,,
47,,1579,,,,,,nan,,nan,,,
47,,1583,,,,,,,,,nan,nan,nan
47,,1583,,,,nan,nan,,nan,,,,
,0.001,1584,,,,,,,,,,,
,0.001,1599,,,,,,,,,,,
48,,1599,,,,,,nan,,nan,,,
48,,1616,,,,,,,,,nan,nan,nan
48,,1616,,,,nan,nan,,nan,,,,
,0.001,1617,,,,,,,,,,,
,0.001,1619,,,,,,,,,,,
49,,1619,,,,,,nan,,nan,,,
,0.001,1639,,,,,,,,,,,
49,,1639,,,,,,nan,,nan,,,
49,,1649,,,,,,,,,nan,nan,nan
49,,1649,,,,nan,nan,,nan,,,,
,0.001,1650,,,,,,,,,,,
,0.001,1659,,,,,,,,,,,
50,,1659,,,,,,nan,,nan,,,
,0.001,1679,,,,,,,,,,,
50,,1679,,,,,,nan,,nan,,,
50,,1682,,,,,,,,,nan,nan,nan
50,,1682,,,,nan,nan,,nan,,,,
,0.001,1683,,,,,,,,,,,
,0.001,1699,,,,,,,,,,,
51,,1699,,,,,,nan,,nan,,,
51,,1715,,,,,,,,,nan,nan,nan
51,,1715,,,,nan,nan,,nan,,,,
,0.001,1716,,,,,,,,,,,
,0.001,1719,,,,,,,,,,,
52,,1719,,,,,,nan,,nan,,,
,0.001,1739,,,,,,,,,,,
52,,1739,,,,,,nan,,nan,,,
52,,1748,,,,,,,,,nan,nan,nan
52,,1748,,,,nan,nan,,nan,,,,
,0.001,1749,,,,,,,,,,,
,0.001,1759,,,,,,,,,,,
53,,1759,,,,,,nan,,nan,,,
,0.001,1779,,,,,,,,,,,
53,,1779,,,,,,nan,,nan,,,
53,,1781,,,,,,,,,nan,nan,nan
53,,1781,,,,nan,nan,,nan,,,,
,0.001,1782,,,,,,,,,,,
,0.001,1799,,,,,,,,,,,
54,,1799,,,,,,nan,,nan,,,
54,,1814,,,,,,,,,nan,nan,nan
54,,1814,,,,nan,nan,,nan,,,,
